"name","age","position","college","draftteam","draftposition","draftyear","born","experience"
"Alaa Abdelnaby",54,"Power Forward","Duke","Portland Trail Blazers",25,1990,"1968-06-24",5
"Zaid Abdul-Aziz",76,"Center and Power Forward","Iowa State","Cincinnati Royals",5,1968,"1946-04-07",10
"Kareem Abdul-Jabbar",75,"Center","UCLA","Milwaukee Bucks",1,1969,"1947-04-16",20
"Mahmoud Abdul-Rauf",53,"Point Guard","LSU","Denver Nuggets",3,1990,"1969-03-09",9
"Tariq Abdul-Wahad",48,"Shooting Guard","Michigan, San Jose State","Sacramento Kings",11,1997,"1974-11-03",6
"Shareef Abdur-Rahim",46,"Power Forward, Small Forward, and Center","California","Vancouver Grizzlies",3,1996,"1976-12-11",12
"Tom Abernethy",68,"Small Forward and Power Forward",Indiana,"Los Angeles Lakers",9,1976,1954-05-06,5
"Forest Able",90,"Guard","Western Kentucky","Syracuse Nationals",5,1956,"1932-07-27",1
"John Abramovic",81,"Forward","Salem University","none",0,0,"1919-02-09",2
"Álex Abrines",29,"Shooting Guard","none",Oklahoma City Thunder,2,2013,"1993-08-01",0
"Precious Achiuwa",23,"Center and Power Forward","Memphis","Miami Heat",20,2020,"1999-09-19",0
"Alex Acker",39,"Shooting Guard","Pepperdine","Detroit Pistons",30,2005,"1983-01-21",2
"Don Ackerman",80,"Point Guard","Long Island University","New York Knicks",2,1953,"1930-09-04",1
"Mark Acres",60,"Center","Oral Roberts","Dallas Mavericks",16,1985,"1962-11-15",6
"Bud Acton",80,"Small Forward","Hillsdale College","none",0,0,"1942-01-11",1
"Quincy Acy",32,"Power Forward and Small Forward","Baylor","Toronto Raptors",7,2012,"1990-10-06",0
"Alvan Adams",68,"Center and Power Forward","Oklahoma","Phoenix Suns",4,1975,"1954-07-19",13
"Don Adams",66,"Small Forward","Northwestern","San Diego Rockets",1,1970,"1947-11-27",7
"George Adams",73,"Small Forward","Gardner-Webb University","Milwaukee Bucks",16,1972,"1949-05-15",3
"Hassan Adams",38,"Shooting Guard","Arizona","New Jersey Nets",24,2006,"1984-06-20",2
"Jaylen Adams",26,"Point Guard","St. Bonaventure","none",0,0,"1996-05-04",0
"Jordan Adams",28,"Shooting Guard","UCLA","Memphis Grizzlies",22,2014,"1994-07-08",2
"Michael Adams",59,"Point Guard","Boston College","Sacramento Kings",19,1985,"1963-01-19",11
"Steven Adams",29,"Center","Pitt","Oklahoma City Thunder",12,2013,"1993-07-20",0
"Rafael Addison",58,"Small Forward","Syracuse","Phoenix Suns",15,1986,"1964-07-22",6
"Bam Adebayo",25,"Center and Power Forward","Kentucky","Miami Heat",14,2017,"1997-07-18",0
"Deng Adel",25,"Small Forward","Louisville","none",0,0,"1997-02-01",0
"Rick Adelman",76,"Point Guard","Loyola Marymount","San Diego Rockets",1,1968,"1946-06-16",7
"Jeff Adrien",36,"Power Forward","UConn","none",0,0,"1986-02-10",5
"Arron Afflalo",37,"Shooting Guard and Small Forward","UCLA","Detroit Pistons",27,2007,"1985-10-15",11
"Ochai Agbaji",22,"Shooting Guard","Kansas","Cleveland Cavaliers",14,2022,"2000-04-20",0
"Maurice Ager",38,"Shooting Guard","Michigan State","Dallas Mavericks",28,2006,"1984-02-09",4
"Mark Aguirre",63,"Small Forward","DePaul","Dallas Mavericks",1,1981,"1959-12-10",13
"Blake Ahearn",38,"Point Guard","Missouri State","none",0,0,"1984-05-27",3
"Danny Ainge",63,"Shooting Guard and Point Guard","BYU","Boston Celtics",8,1981,"1959-03-17",14
"Matt Aitch",62,"Power Forward","Moberly Area Community College, Michigan State","Detroit Pistons",2,1967,"1944-09-21",1
"Alexis Ajinça",34,"Center and Power Forward","none","Charlotte Bobcats",20,2008,"1988-05-06",7
"Henry Akin",75,"Power Forward and Center","Morehead State University","New York Knicks",1,1966,"1944-07-31",3
"Josh Akognon",36,"Point Guard","Washington State, Cal State Fullerton","none",0,0,"1986-02-10",1
"DeVaughn Akoon-Purcell",29,"Shooting Guard","Illinois State","none",0,0,"1993-06-05",0
"Solomon Alabi",34,"Center","Florida State","Dallas Mavericks",20,2010,"1988-03-21",2
"Mark Alarie",59,"Power Forward","Duke","Denver Nuggets",18,1986,"1963-12-11",5
"Gary Alcorn",70,"Center","Fresno State","Minneapolis Lakers",1,1959,"1936-10-08",2
"Santi Aldama",21,"Power Forward","Loyola (MD)","Utah Jazz",30,2021,"2001-01-10",0
"Furkan Aldemir",31,"Power Forward","none","Los Angeles Clippers",23,2012,"1991-08-09",1
"Cole Aldrich",34,"Center","Kansas","New Orleans Hornets",11,2010,"1988-10-31",8
"LaMarcus Aldridge",37,"Power Forward and Center","Texas","Chicago Bulls",2,2006,"1985-07-19",0
"Chuck Aleksinas",63,"Center","Kentucky, UConn","Chicago Bulls",7,1982,"1959-02-26",1
