"idplayer","idseason","idteam","age","league","position","games","gamesstarter","minutesplayed","fieldgoals","fgattempts","fgperc","3PTSFG","3PFGAttempts","3PFGPerc","2PtsFG","2PFGAttempts","2PFGPerc","effectivegoalperc","freethrows","freethrowsattempts","ftperc","offrbds","defrbds","totalrbds","assists","steals","blocks","turnovers","fouls","points","tripledouble"
1,29,23,26,"NBA","PF",3,0,30,1,11,0.091,0,0,NULL,1,11,0.091,0.091,0,0,NULL,3,5,8,0,0,0,5,2,2,NULL
1,29,26,26,"NBA","PF",51,0,476,117,220,0.532,0,2,0,117,218,0.537,0.532,20,35,0.571,34,72,106,13,15,12,40,102,254,NULL
1,29,31,26,"NBA","PF",54,0,506,118,231,0.511,0,2,0,118,229,0.515,0.511,20,35,0.571,37,77,114,13,15,12,45,104,256,NULL
1,30,2,25,"NBA","PF",13,0,159,24,55,0.436,0,0,NULL,24,55,0.436,0.436,16,25,0.64,12,34,46,3,2,3,17,20,64,NULL
1,31,2,24,"NBA","PF",63,52,1152,219,417,0.525,0,0,NULL,219,417,0.525,0.525,76,100,0.76,114,186,300,17,19,22,84,165,514,NULL
1,31,17,24,"NBA","PF",12,0,159,26,56,0.464,0,1,0,26,55,0.473,0.464,12,16,0.75,12,25,37,10,6,4,13,24,64,NULL
1,31,31,24,"NBA","PF",75,52,1311,245,473,0.518,0,1,0,245,472,0.519,0.518,88,116,0.759,126,211,337,27,25,26,97,189,578,NULL
1,32,25,23,"NBA","PF",71,1,934,178,361,0.493,0,0,NULL,178,361,0.493,0.493,76,101,0.752,81,179,260,30,25,16,66,132,432,NULL
1,33,25,22,"NBA","PF",43,0,290,55,116,0.474,0,0,NULL,55,116,0.474,0.474,25,44,0.568,27,62,89,12,4,12,22,39,135,NULL
2,46,2,31,"NBA","C",2,NULL,24,3,13,0.231,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,3,0.667,6,9,15,3,1,1,3,4,8,NULL
2,46,11,31,"NBA","PF",14,NULL,134,20,47,0.426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,20,0.75,13,22,35,7,2,2,11,25,55,NULL
2,46,31,31,"NBA","C,PF",16,NULL,158,23,60,0.383,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,23,0.739,19,31,50,10,3,3,14,29,63,NULL
2,47,34,30,"NBA","C",22,NULL,195,25,74,0.338,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33,43,0.767,41,49,90,7,3,9,NULL,21,83,NULL
2,48,33,29,"NBA","C",27,NULL,223,35,75,0.467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,29,0.552,30,46,76,16,8,15,NULL,29,86,NULL
2,50,11,28,"NBA","C",65,NULL,1450,235,538,0.437,NULL,NULL,NULL,NULL,NULL,NULL,NULL,159,203,0.783,154,334,488,84,37,74,NULL,128,629,NULL
2,52,11,27,"NBA","C",79,NULL,2459,336,732,0.459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193,240,0.804,259,664,923,166,80,104,NULL,227,865,NULL
2,54,11,26,"NBA","C",48,NULL,900,149,375,0.397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119,162,0.735,NULL,NULL,304,53,NULL,NULL,NULL,108,417,NULL
2,56,33,25,"NBA","C",58,NULL,1780,322,751,0.429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,154,214,0.72,NULL,NULL,654,124,NULL,NULL,NULL,178,798,NULL
2,58,33,24,"NBA","C",61,NULL,1276,263,597,0.441,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,188,0.739,NULL,NULL,468,42,NULL,NULL,NULL,118,665,NULL
2,60,17,23,"NBA","PF",80,NULL,1637,237,546,0.434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,119,185,0.643,NULL,NULL,603,62,NULL,NULL,NULL,167,593,NULL
2,62,17,22,"NBA","C",29,NULL,837,126,347,0.363,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68,106,0.642,NULL,NULL,378,33,NULL,NULL,NULL,98,320,NULL
2,62,31,22,"NBA","C",49,NULL,945,144,390,0.369,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70,113,0.619,NULL,NULL,409,37,NULL,NULL,NULL,115,358,NULL
2,62,32,22,"NBA","none",20,NULL,108,18,43,0.419,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,7,0.286,NULL,NULL,31,4,NULL,NULL,NULL,17,38,NULL
3,35,14,41,"NBA","C",74,74,1695,313,659,0.475,0,3,0,313,656,0.477,0.475,122,165,0.739,103,231,334,74,38,85,95,196,748,0
3,36,14,40,"NBA","C",80,80,2308,480,903,0.532,0,1,0,480,902,0.532,0.532,205,269,0.762,118,360,478,135,48,92,159,216,1165,0
3,37,14,39,"NBA","C",78,78,2441,560,993,0.564,1,3,0.333,559,990,0.565,0.564,245,343,0.714,152,371,523,203,49,97,186,245,1366,0
3,38,14,38,"NBA","C",79,79,2629,755,1338,0.564,0,2,0,755,1336,0.565,0.564,336,439,0.765,133,345,478,280,67,130,203,248,1846,0
3,39,14,37,"NBA","C",79,79,2630,723,1207,0.599,0,1,0,723,1206,0.6,0.599,289,395,0.732,162,460,622,249,63,162,197,238,1735,0
