"idteam","name","location","games","wins","loses","playoff","confchampions","nbachampions","conference"
1,"Atlanta Hawks","Atlanta, Georgia",5800,2864,2936,48,0,1,"Western"
2,"Boston Celtics","Boston, Massachusetts",5977,3534,2443,59,10,17,"Western"
3,"Brooklyn Nets","Brooklyn, New York",4476,1967,2509,30,2,2,"Western"
4,"Charlotte Hornets","Charlotte, North Carolina",2576,1133,1443,10,0,0,"Western"
5,"Chicago Bulls","Chicago, Illinois",4542,2315,2227,36,6,6,"Western"
6,"Cleveland Cavaliers","Cleveland, Ohio",4216,1950,2266,22,5,1,"Western"
7,"Dallas Mavericks","Dallas, Texas",3405,1722,1683,24,2,1,"Eastern"
8,"Denver Nuggets","Denver, Colorado",4475,2273,2202,37,0,0,"Eastern"
9,"Detroit Pistons","Detroit, Michigan",5863,2803,3060,42,5,3,"Western"
10,"Golden State Warriors","San Francisco, California",5966,2893,3073,36,7,7,"Eastern"
11,"Houston Rockets","Houston, Texas",4468,2314,2154,34,4,2,"Eastern"
12,"Indiana Pacers","Indianapolis, Indiana",4475,2289,2186,36,1,3,"Western"
13,"Los Angeles Clippers","Los Angeles, California",4224,1763,2461,16,0,0,"Eastern"
14,"Los Angeles Lakers","Los Angeles, California",5866,3471,2395,62,19,17,"Eastern"
15,"Memphis Grizzlies","Memphis, Tennessee",2173,937,1236,12,0,0,"Eastern"
16,"Miami Heat","Miami, Florida",2748,1443,1305,23,6,3,"Western"
17,"Milwaukee Bucks","Milwaukee, Wisconsin",4387,2301,2086,34,3,2,"Western"
18,"Minnesota Timberwolves","Minneapolis, Minnesota",2656,1062,1594,10,0,0,"Eastern"
19,"New Orleans Pelicans","New Orleans, Louisiana",1630,758,872,8,0,0,"Eastern"
20,"New York Knicks","New York, New York",5968,2891,3077,43,4,2,"Western"
21,"Oklahoma City Thunder","Oklahoma City, Oklahoma",4468,2384,2084,32,4,1,"Eastern"
22,"Orlando Magic","Orlando, Florida",2667,1242,1425,16,2,0,"Western"
23,"Philadelphia 76ers","Philadelphia, Pennsylvania",5803,3014,2789,52,5,3,"Western"
24,"Phoenix Suns","Phoenix, Arizona",4388,2351,2037,31,3,0,"Eastern"
25,"Portland Trail Blazers","Portland, Oregon",4224,2252,1972,37,3,1,"Eastern"
26,"Sacramento Kings","Sacramento, California",5866,2668,3198,29,0,1,"Eastern"
27,"San Antonio Spurs","San Antonio, Texas",4473,2647,1826,47,6,5,"Eastern"
28,"Toronto Raptors","Toronto, Canada",2173,1043,1130,13,1,1,"Western"
29,"Utah Jazz","Salt Lake City, Utah",3897,2124,1773,31,2,0,"Eastern"
30,"Washington Wizards","Washington, District of Columbia",4950,2233,2717,30,4,1,"Western"
31,"TOT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"CIN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"SEA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"BUF",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"VAN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"SYR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"PIT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,"STB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,"BLB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,"WSB",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,"SDR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,"SSL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"SDA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,"NJN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"NOJ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"KCO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"CHA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"INA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"KEN",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"NOH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,"ANA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"SFW",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
